Category,Subcategory,Local_Filename,Cloudinary_URL,Public_ID
MEN,Clothing/Shirts,Áo sơ mi nam A1MD538T1-CNCR718-2701-D.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004517/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_s%C6%A1_mi_nam_A1MD538T1-CNCR718-2701-D.png,FASHION_DATA/MEN/Clothing/Shirts/Áo_sơ_mi_nam_A1MD538T1-CNCR718-2701-D
MEN,Clothing/Shirts,Áo Sơ Mi Nam Aligro Màu Xanh Dương ALG1009.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004519/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_S%C6%A1_Mi_Nam_Aligro_M%C3%A0u_Xanh_D%C6%B0%C6%A1ng_ALG1009.png,FASHION_DATA/MEN/Clothing/Shirts/Áo_Sơ_Mi_Nam_Aligro_Màu_Xanh_Dương_ALG1009
MEN,Clothing/Shirts,Áo Sơ Mi Nam Basic Shirt - Size M.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004521/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_S%C6%A1_Mi_Nam_Basic_Shirt_-_Size_M.jpg,FASHION_DATA/MEN/Clothing/Shirts/Áo_Sơ_Mi_Nam_Basic_Shirt_-_Size_M
MEN,Clothing/Shirts,Áo Sơ Mi Nam Cổ Trụ Tay Dài 2 Túi Lịch Lãm thương hiệu AG.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004522/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_S%C6%A1_Mi_Nam_C%E1%BB%95_Tr%E1%BB%A5_Tay_D%C3%A0i_2_T%C3%BAi_L%E1%BB%8Bch_L%C3%A3m_th%C6%B0%C6%A1ng_hi%E1%BB%87u_AG.jpg,FASHION_DATA/MEN/Clothing/Shirts/Áo_Sơ_Mi_Nam_Cổ_Trụ_Tay_Dài_2_Túi_Lịch_Lãm_thương_hiệu_AG
MEN,Clothing/Shirts,Áo sơ mi nam dài tay ALIGRO chất liệu cotton cổ bẻ dáng ôm b.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004524/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_s%C6%A1_mi_nam_d%C3%A0i_tay_ALIGRO_ch%E1%BA%A5t_li%E1%BB%87u_cotton_c%E1%BB%95_b%E1%BA%BB_d%C3%A1ng_%C3%B4m_b.png,FASHION_DATA/MEN/Clothing/Shirts/Áo_sơ_mi_nam_dài_tay_ALIGRO_chất_liệu_cotton_cổ_bẻ_dáng_ôm_b
MEN,Clothing/Shirts,Áo sơ mi nam dài tay màu đen dáng suông May 10 mã 010122912L.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004525/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_s%C6%A1_mi_nam_d%C3%A0i_tay_m%C3%A0u_%C4%91en_d%C3%A1ng_su%C3%B4ng_May_10_m%C3%A3_010122912L.jpg,FASHION_DATA/MEN/Clothing/Shirts/Áo_sơ_mi_nam_dài_tay_màu_đen_dáng_suông_May_10_mã_010122912L
MEN,Clothing/Shirts,Áo sơ mi nam form rộng tay dài kiểu trẻ trung hàn quốc chất.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004527/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_s%C6%A1_mi_nam_form_r%E1%BB%99ng_tay_d%C3%A0i_ki%E1%BB%83u_tr%E1%BA%BB_trung_h%C3%A0n_qu%E1%BB%91c_ch%E1%BA%A5t.png,FASHION_DATA/MEN/Clothing/Shirts/Áo_sơ_mi_nam_form_rộng_tay_dài_kiểu_trẻ_trung_hàn_quốc_chất
MEN,Clothing/Shirts,Áo sơ mi nam Khatoco.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004529/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_s%C6%A1_mi_nam_Khatoco.png,FASHION_DATA/MEN/Clothing/Shirts/Áo_sơ_mi_nam_Khatoco
MEN,Clothing/Shirts,"Áo sơ mi nam trơn cao cấp, áo sơ mi nam công sở mềm mịn, tho.jpg",https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004531/FASHION_DATA/MEN/Clothing/Shirts/%C3%81o_s%C6%A1_mi_nam_tr%C6%A1n_cao_c%E1%BA%A5p_%C3%A1o_s%C6%A1_mi_nam_c%C3%B4ng_s%E1%BB%9F_m%E1%BB%81m_m%E1%BB%8Bn_tho.jpg,FASHION_DATA/MEN/Clothing/Shirts/Áo_sơ_mi_nam_trơn_cao_cấp_áo_sơ_mi_nam_công_sở_mềm_mịn_tho
MEN,Clothing/Shorts,Quần đùi short gió nam thể thao Basic trẻ trung năng đô.jpg,https://res.cloudinary.com/dmxxo6wgl/image/upload/v1779004532/FASHION_DATA/MEN/Clothing/Shorts/Qu%C3%A2%CC%80n_%C4%91u%CC%80i_short_gio%CC%81_nam_th%C3%AA%CC%89_thao_Basic_tre%CC%89_trung_n%C4%83ng_%C4%91%C3%B4.jpg,FASHION_DATA/MEN/Clothing/Shorts/Quần_đùi_short_gió_nam_thể_thao_Basic_trẻ_trung_năng_đô
